text,stars
"When choosing the category for this restaurant, I wish there had been crap as a choice. 

My partner is on a see all the towns in Massachusetts kick, so we have been visiting all these little towns.
This weekend we went to Salem and stopped somewhere for a sandwich.

We ended up here because it was close and the two people I was with got some kind of chicken sandwiches and I had a vegetarian wrap.

My dining partners said their sandwiches were crappy, and the chicken was dry. When Kristin M. attempted to get some dressing to kick it up, the idiot counter girl gave her some vinegar and oil just poured on top of each other.

Now one of the things I HATE is unnecessarily cold food, so when I got my wrap that had almost no filling in it and the wrap was right out of the fridge, not room temp or grilled or anything, I already knew it was going to be bad.

It was a bland and poorly made wrap that didn't even have the sides tucked in.
The people behind the counter were incredibly unfriendly, but I actually think it might be because we were the only people of color they have ever seen in their lives, seriously.
She smiled and helped everyone but us.

The place itself was boring, a cheap couldn't decide if I am a diner or deli, or fast food joint kind of place.

So this place is a serious waste of time and stomach room.",1
"The joke around the Liberty Centre is the nickname for this place - Cafe No-Way. There are some valid reasons...granted, I have eaten here, and then paid for it. There is something seriously wrong with their lettuce...it gives everyone I work with including myself stomach cramps and frequent afternoon visits to the loo. The French fries are pretty tasty, but your thighs will eventually communicate that to the world. All the food is from a huge corporate frozen food distributor..nothing local, fresh, or organic...Which still shocks me being that we ARE in portland. Honestly, there are better options around...people just have to walk a block or two. But, really, your tummy, thighs, and other body parts will thank you.",2
"Well, this chain is owned by the ultra right-wing Kevin Cameron. Need I say more?",1
"This Bob Evans sucked. Would never come here again especially with family. Waited 1hr to get uncooked eggs, flat pancakes and horrible customer service.",1
"Stopped here for two reasons - it was across the street from our hotel and there were 8 of us so we were looking for an inexpensive meal.

Definition of the two star rating:
1. Location 
2. Price

The staff were nice enough - we had a large party (8 and a baby). They couldn't accommodate us all at one table but put us near each other which was okay.

I asked for a coke with lemon. Received a coke about 10 minutes later, no lemon. Ordered my meal - turkey bacon melt. Asked for a side of Mac and cheese and BBQ sauce for my fries. Received the meal after what seemed like eternity - no Mac and cheese OR BBQ sauce. What's the point of asking for things??

I wanted dessert but the waitress brought out our checks without even asking. Welp.

I understand this location was understaffed and it seemed as though many of the employees were frazzled. Working as a retail manager, I can understand but from what other reviewers have said, maybe management should intervene and make better business decisions.",2
"I hadnt been to a Bob Evans since I was a kid in Ohio in the mid 80's. So while on vacation in Florida I figured it would be fun to have breakfast here one morning for nostalgias sake.

whoa.

not the worst experience but very underwhelming. It started out promising as we were greeted at the door by a sweet older lady who seated us. We recieved our drinks in a timely manner. Than it took forever to place our order and then get our food. The place wasnt busy at all and I counted at least 5 servers, so i didnt understand the lag in service.

Than when our food did arrive it was very bland and lukewarm. 

Not trying to be harsh but Bob Evans seems to be a glorified Dennys. At least this one was..",2
"No, no, no!!!!
Cold breakfast, slow service and a table by the bathrooms. My first and LAST trip to Bob Evans! 
Hubby's grits were equivalent to soup, pancakes tasted disgusting and all was barley lukewarm!
Go to CRACKER BARREL!!!!!",1
"Typical. But my sister asked for a water and 10mins later she came back with it.
It was sort of busy at the time but all of our food was hot (myself and 5others) and it tasted good. I've had better. Nothing to go write home to mom about but it was alright.
Took a really long time tho to get your check payed for.
If your a Denny's fan and have never had this place- go to Denny's.",2
"We love Bob Evans, however, this was not a good experience.  Glasses were dirty, long wait with loads of empty tables, potatoes not fully cooked, hot cocoa ordered, but never received and then charged for, hash browns tasted like dirty grease.  Very disappointed.",2
"Well, need I say more, this is a chain.  Now coming from California, I wasn't aware this was a chain, but it was essentially a diner.  The salmon was a bit dry and tasteless.  With the humid weather and the thunderstorms outside, gloomy weather, the overall ambiance was not good at all.  The food did not help.",2
"This place does not even deserve a star! We were seated by the ""busboy"" cause everyone was too damn busy bitching  about who's going home. And after we were seated the busboy came by with our drinks (he's not our problem he did good) then 2 other families  came in after us and got served there salads and drinks and got there order taken. 2 waitresses  physical looked right at us and walked the other direction and still didn't serve us. Manager could care less if we were happy or not. We walked out after the other couple who walked in 15 mins  after got there order taken......WORST PLACE EVER DON'T GO!!!!!!!",1
"The first time I walked into this place, I was overwhelmed by a dirty, musty odor and left.  

My husband was insistent upon giving it another try so we went back for drinks on a Friday night around 8. Must have been too early for people watching as the place was entirely dead.  The waitress was actually very friendly and nice, though, and made some suggestions on cocktails. She gets 4 stars. Unfortunately, the cocktails were just not good. Very watered down and not tasty.  I gave them two tries (a margarita & a cosmo). Both seem like very straightforward, basic drinks but they failed on both accounts.

I will add the caveat that this is clearly not a martini bar so it was probably a stupid choice on my part.",2
"Dark, dingy, and wicked fricken packed. Weekend nights almost always end with busted faces in the streets outside. I guess it's a club dive? I'm not sure. I enter this place only when someone wants to do a proper Malden Bar Crawl. 

This was the first bar I saw the difference between HD and regular TV. I was inebriated, and the regular TV was very blurry. The HD TV was still crystal clear. It defied my drunk. For that, I guess Veez deserves a star. This place really isn't a destination station.",1
"this is part three of the four part series titled ""the worst tour"".  please see my review of bennigans for back story.
we visited the tgif's on town lake under the radisson.  so guess what, there were tourists everywhere.  the beer selection was subpar and we were surrounded by tourists.  that doesn't deserve two stars does it?  i said it previously, that good service can even make a dump bearable and our server brittany did just that.  she took care of our birthday boy in tow that was not having a good time since we had just been to bennigans and hooters (part one and two of ""the worst tour"").  she brought out shots at her discretion and was very prompt and friendly.  she gets the two stars, not the establishment.  typical chain bullshit.  stuff thrown up on the wall to give the impression or originality, radio quality music, etc.  
well, jake almost thought ""the worst tour"" was over as we headed into downtown, but he was mistaken.  time for the worst of the worst.  hello coyote ugly!!",2
"Well let me start off by saying I am ""P"" as mentioned in Laura T.'s review, so yes my experience SUCKED. 

My girlfriends and I went out for a friend's birthday and we were intrigued to go to TGI Friday's because they had BOGO Entree Free coupons. Yes, I brought my newborn who is nursing.. and the waitress nearly elbowed him in the head when setting down my food in front of me. I wont repeat what Laura T. said because she's already said it about C's burger, A's ""gourmet 5 cheese mac n cheese"" and her mojito... But I will tell you about my pork chop.

My pork chop was pink and undercooked. Anyone know what the risks of eating undercooked pork are? ""Trichinosis, also called trichinellosis, or trichiniasis, is a parasitic disease caused by eating raw or undercooked pork "" not to mention Tapeworms. Come on guys, simple sanitation and food safety rules! 

I am a stay at home mom, meaning I provide full-time care to my children (1 month  and 21 months) throughout the day. I cannot afford to be sick! Imagine having food poisoning when you are breastfeeding an infant every 2 hours, and taking care of a toddler with the terrible two's. I will spare you the TMI details and just describe it as HELL. 

Now there are other people in our party who ate completely different foods yet still ended up getting sick. My bess guestimation would be this is the result of CROSS CONTAMINATION. 

And come on, how hard is it to keep our drinks full when we are THE ONLY TABLE IN THE BACK. Seriously, the automatic 18% gratuity they tack on to a bill for a party of 8 or more is FAR too much. I wouldn't even tip the normal 10% for satisfactory service. When I sent my porkchop back, the waitress asked if I wanted another one. Yes, please give me another uncooked porkchop and the opportunity for some cook to spit in my food. Honestly, I should have had a manager check out my food so they are aware that their cooks aren't cooking the meats completely. 

Ugh, I feel sick just remembering it. Never will I go back to Friday;s and I will try to save everyone I can by spreading my terrible experience. And instead of comping my meal....I would just like for the health department to shut the damn restaurant down. It will happen sooner or later I'm sure.",1
"For my hundreth review i decided to review the only restaurant i put on my personal boycott list. TGIF. If i was a pimp and you was my hoe, i would of pimped slapped yo' ass back in 1999 and kept it up until today. This review is for all TGIF's. I might go off to some other specific TGIF's and give the rundown on why i hate that actuall TGIF, but i just have to say that TGIF did win one award from me, the worst service in the World. 
Here i give you the award button for crap. pin it on your flair vest or something. 

I have been to five TGIFs and they all sucked. The ones in Austin, the one in Seattle, the one in Dallas, and the one in Tacoma. U all suck. I would rather vote for Mccain and be his bitch boy before I ever step foot inside a TGIF again. 

I gave you one star because they wont let me give 1 / 756875687 of a star. 

(maybe not that extreme on the Mccain thing. Its not that serious. But you got my point right?)",1
"Summary: The food here was disappointing but their Brownie Obsession dessert is to die for! Try out Chili's for a better alternative.

(6/10) Sizzling Chicken & Shrimp
This dish is on the ""Best of Friday's"" section of the menu but it could have been better. It comes with one medium sized chicken breast, a handful of shrimp, onions, peppers, and mashed potatoes.  The chicken is tender and flavorful, however the shrimp is chewy. The mashed potatoes come without gravy, but goes well when dipped in melted cheese (what doesn't go well with melted cheese?!).

(5/10) Southwest Mac & Cheese
When we saw the picture in the menu, we knew we had to get this one, especially since we love macaroni and cheese. The delicious description made our mouth water - juicy fire grilled chicken with creamy white cheddar jalapeno sauce.  However, this this dish did not come as described and was a huge let down.  First of all, T.G.I. Friday's uses penne pasta instead of macaroni. Secondly, they left the chicken in the fire-grill way too long.  The entire piece of chicken was dry and half of it burnt to a crisp. There is no hint of jalapenos and the cheese is not ""cheesy"" at all.

(4/10) Fiery Chicken Popper Sandwich
This sandwich is neither fiery nor popping, and did not live up to its name. Its described as a crispy chicken breast, smothered with cream cheese & jalapeno habanero jelly and topped with jalapenos.  Naturally, one would expect a spicy sandwich but there is no jalapeno kick to it.  They skimped on the chicken and the ciabatta bread was dry and hard. Stay away from this one!

(8/10) Brownie Obsession
T.G.I Friday's finally got something right! If you are a chocolate lover, then your mouth is in for a treat.  The brownie is served warm and drenched with Ghirardelli chocolate-fudge sauce and topped with a delicious scoop of creamy ice cream.  We'll use three words to describe this dish: rich, chocolaty, fudgelicious.  It doesn't get any better than this!

(6/10) Chocolate Peanut Butter Pie
If you are a fan of peanut butter desserts, then this is for you. The pie has a graham cracker crust, a thin layer of chocolate, peanut butter mousse, and topped with whipped cream. It is rich and fluffy, but if you want more substance, get the brownie.

Service (5/10)
It was a slow night when we went so we were seated immediately. The service is mediocre. The waiter checked up on us once or twice, but never refilled our water. Also, since he rang up the bill incorrectly, we were overcharged.

Ambiance (6/10)
T.G.I. Friday's amibiance is similar to that of Chili's - very casual.  The restaurant is large and has plenty of seating in the dining and bar areas.  Parking is sufficient because it is located in a shopping area. If you are looking for a restaurant with a huge variety of food that is good for families or friends, we recommend Chili's or Bennigans.",2
